X-axis,Y-axis,Timestep,Density,Fuel
8678.3326,8374.74750083731,0,1,1.13
8678.3326,8374.74750083731,1,1,1.29
8678.3326,8374.74750083731,2,1,1.57
8678.3326,8374.74750083731,3,1,2.53
8678.3326,8374.74750083731,4,1,2.57
8678.3326,8374.74750083731,5,1,2.84
8678.3326,8374.74750083731,6,1,0.0
8678.3326,8374.74750083731,7,1,0.0
8678.3326,8374.74750083731,8,1,2.65
8678.3326,8374.74750083731,9,1,2.15
8678.3326,8374.74750083731,10,1,3.03
8678.3326,8374.74750083731,11,1,3.56
8678.3326,8374.74750083731,12,2,6.08
8678.3326,8374.74750083731,13,2,1.49
8678.3326,8374.74750083731,14,3,2.96
8678.3326,8374.74750083731,15,3,4.85
8678.3326,8374.74750083731,16,3,4.68
8678.3326,8374.74750083731,17,3,4.59
8678.3326,8374.74750083731,18,4,7.19
8678.3326,8374.74750083731,19,4,5.42
8678.3326,8374.74750083731,20,4,4.83
8678.3326,8374.74750083731,21,3,5.04
8678.3326,8374.74750083731,22,3,8.6
8678.3326,8374.74750083731,23,3,8.97
8678.3326,8374.74750083731,24,3,3.72
8678.3326,8374.74750083731,25,3,4.21
8678.3326,8374.74750083731,26,4,4.8
8678.3326,8374.74750083731,27,3,5.89
8678.3326,8374.74750083731,28,3,7.77
8678.3326,8374.74750083731,29,3,11.16
8678.3326,8374.74750083731,30,3,9.95
8678.3326,8374.74750083731,31,3,11.42
8678.3326,8374.74750083731,32,3,16.63
8678.3326,8374.74750083731,33,3,10.78
8678.3326,8374.74750083731,34,3,2.64
8678.3326,8374.74750083731,35,3,8.21
8678.3326,8374.74750083731,36,3,0.0
8678.3326,8374.74750083731,37,3,7.41
8678.3326,8374.74750083731,38,3,4.21
8678.3326,8374.74750083731,39,3,9.29
8678.3326,8374.74750083731,40,3,2.49
8678.3326,8374.74750083731,41,3,3.39
8678.3326,8374.74750083731,42,3,6.96
8678.3326,8374.74750083731,43,3,1.73
8678.3326,8374.74750083731,44,3,6.33
8678.3326,8374.74750083731,45,3,0.0
8678.3326,8374.74750083731,46,3,9.36
8678.3326,8374.74750083731,47,3,6.88
8678.3326,8374.74750083731,48,3,6.88
8678.3326,8374.74750083731,49,3,12.87
8678.3326,8374.74750083731,50,3,4.39
8678.3326,8374.74750083731,51,3,8.62
8678.3326,8374.74750083731,52,3,3.96
8678.3326,8374.74750083731,53,3,8.12
8678.3326,8374.74750083731,54,3,2.44
8678.3326,8374.74750083731,55,3,4.38
8678.3326,8374.74750083731,56,3,4.4
8678.3326,8374.74750083731,57,3,5.33
8678.3326,8374.74750083731,58,3,4.45
8678.3326,8374.74750083731,59,3,10.37
8678.3326,8374.74750083731,60,3,7.8
8678.3326,8374.74750083731,61,3,11.84
8678.3326,8374.74750083731,62,4,15.04
8678.3326,8374.74750083731,63,5,18.88
8678.3326,8374.74750083731,64,5,13.46
8678.3326,8374.74750083731,65,5,11.39
8678.3326,8374.74750083731,66,5,9.87
8678.3326,8374.74750083731,67,5,11.0
8678.3326,8374.74750083731,68,4,13.8
8678.3326,8374.74750083731,69,5,16.26
8678.3326,8374.74750083731,70,5,10.78
8678.3326,8374.74750083731,71,6,5.28
8678.3326,8374.74750083731,72,6,7.89
8678.3326,8374.74750083731,73,6,15.37
8678.3326,8374.74750083731,74,6,8.93
8678.3326,8374.74750083731,75,6,10.81
8678.3326,8374.74750083731,76,6,13.92
8678.3326,8374.74750083731,77,6,7.78
8678.3326,8374.74750083731,78,5,4.62
8678.3326,8374.74750083731,79,6,2.42
8678.3326,8374.74750083731,80,6,4.21
8678.3326,8374.74750083731,81,6,4.74
8678.3326,8374.74750083731,82,6,13.69
8678.3326,8374.74750083731,83,6,15.62
8678.3326,8374.74750083731,84,6,12.72
8678.3326,8374.74750083731,85,6,8.15
8678.3326,8374.74750083731,86,6,12.06
8678.3326,8374.74750083731,87,6,18.92
8678.3326,8374.74750083731,88,6,19.24
8678.3326,8374.74750083731,89,6,20.36
8678.3326,8374.74750083731,90,6,15.3
8678.3326,8374.74750083731,91,5,11.08
8678.3326,8374.74750083731,92,6,17.12
8678.3326,8374.74750083731,93,6,13.39
8678.3326,8374.74750083731,94,6,14.54
8678.3326,8374.74750083731,95,7,5.1
8678.3326,8374.74750083731,96,7,13.75
8678.3326,8374.74750083731,97,8,11.16
8678.3326,8374.74750083731,98,9,13.98
8678.3326,8374.74750083731,99,9,13.42
8678.3326,8374.74750083731,100,9,20.3
8678.3326,8374.74750083731,101,10,31.24
8678.3326,8374.74750083731,102,11,43.86
8678.3326,8374.74750083731,103,11,36.09
8678.3326,8374.74750083731,104,11,41.65
8678.3326,8374.74750083731,105,11,39.75
8678.3326,8374.74750083731,106,11,31.75
8678.3326,8374.74750083731,107,12,31.99
8678.3326,8374.74750083731,108,14,30.95
8678.3326,8374.74750083731,109,15,27.67
8678.3326,8374.74750083731,110,15,33.38
8678.3326,8374.74750083731,111,14,27.84
8678.3326,8374.74750083731,112,14,33.88
8678.3326,8374.74750083731,113,15,36.13
8678.3326,8374.74750083731,114,15,31.55
8678.3326,8374.74750083731,115,15,34.64
8678.3326,8374.74750083731,116,15,39.28
8678.3326,8374.74750083731,117,15,31.97
8678.3326,8374.74750083731,118,14,37.12
8678.3326,8374.74750083731,119,14,47.76
8678.3326,8374.74750083731,120,14,38.4
8678.3326,8374.74750083731,121,15,31.55
8678.3326,8374.74750083731,122,15,25.96
8678.3326,8374.74750083731,123,15,28.11
